Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,ultimoDividendo
VGIA11,Títulos e Val. Mob.,10.01,0.0438999999999999,0.0921,1.05,353427000,2664600,0.0,0.0,0.0,0.0,0.0,0.17
VGIP11,Títulos e Val. Mob.,90.82000000000001,0.0902999999999999,0.176,0.99,1070520000,3061860,0.0,0.0,0.0,0.0,0.0,1.0
VGIR11,Títulos e Val. Mob.,9.83,0.6207,0.1286999999999999,0.1,74420600,3119630,0.0,0.0,0.0,0.0,0.0,0.13
VIFI11,Títulos e Val. Mob.,7.59,0.2944,0.0983,0.87,61397000,203352,0.0,0.0,0.0,0.0,0.0,0.06
VILG11,Logística,109.39000000000001,0.0673,0.0751,0.96,1640570000,2306700,16.0,2790.88,2.2862,0.0819,0.0,0.72
VINO11,Lajes Corporativas,49.7,0.0898,0.0987,0.92,823293000,1577170,10.0,13015.9,9.3099,0.0715,0.0039,0.34
VISC11,Shoppings,110.00000000000001,0.0713,0.0739,0.96,1946590000,2540020,19.0,3299.2,2.5191,0.0764,0.074,0.72
VIUR11,Outros,8.25999999999999,0.1144999999999999,0.1015,0.87,222576000,367724,6.0,3158.86,2.8855,0.0913,0.0,0.07
VLOL11,Lajes Corporativas,106.49,0.0607,0.0608,1.03,190066000,383120,1.0,18118.1,12.3907,0.0684,0.0,0.59
VOTS11,Títulos e Val. Mob.,89.28,0.1669,0.1323,0.94,73916100,6544,0.0,0.0,0.0,0.0,0.0,1.01
VRTA11,Títulos e Val. Mob.,94.85,0.128,0.1481,1.01,1247520000,2395510,0.0,0.0,0.0,0.0,0.0,1.1
VSEC11,Títulos e Val. Mob.,50.01,0.0152,0.0906,0.51,3137380,884,0.0,0.0,0.0,0.0,0.0,0.19
VSHO11,Shoppings,79.67,0.0929,0.0984,0.81,167211000,56126,3.0,2197.99,3.6235,0.1649,0.0784,0.59
VSLH11,Outros,9.08,0.0935,0.1586999999999999,0.87,271166000,877111,0.0,0.0,0.0,0.0,0.0,0.12
VTLT11,Logística,95.26,0.1024,0.1003,0.93,201475000,275298,1.0,787.31,0.9133,0.1159999999999999,0.0,0.83
VVPR11,Híbrido,99.99,0.0913,0.0909,1.02,230554000,76002,6.0,5249.11,5.267,0.1003,0.0,0.73
VXXV11,Outros,917.0,-0.0027,0.0,1.13,242271000,477282,0.0,0.0,0.0,0.0,0.0,10.76
WHGR11,Outros,9.48,0.0138,0.0344,0.95,237849000,631647,0.0,0.0,0.0,0.0,0.0,0.11
WPLZ11,Shoppings,82.9,0.0403,0.0471,0.81,84619900,14403,1.0,2250.65,1.0418,0.0463,0.1162,0.5
WTSP11B,Híbrido,38.95,0.1233,0.057,0.47,38660400,128,1.0,2932.15,4.0371,0.1377,0.0644,0.32
XPCA11,Títulos e Val. Mob.,10.0,0.0538,0.0668,1.05,176870000,1084020,0.0,0.0,0.0,0.0,0.0,0.14
XPCI11,Títulos e Val. Mob.,91.0,0.0636,0.1374,0.94,791841000,2605260,0.0,0.0,0.0,0.0,0.0,0.96
XPCM11,Lajes Corporativas,19.5,0.1113,0.1,0.37,47084100,150427,1.0,2068.86,0.0,0.0,1.0,0.12
XPHT11,Hotel,112.11,0.0039,0.0186,1.19,426538000,262342,11.0,20932.8,1.7213999999999998,0.0081999999999999,0.5874,0.65
XPIN11,Outros,82.5,0.0782,0.0895,0.75,589910000,562907,100.0,2165.36,1.8221,0.0841,0.0,0.61
XPLG11,Logística,109.64,0.068,0.0723,0.96,2971360000,4283760,16.0,2220.31,1.7619999999999998,0.0794,0.0819,0.72
XPML11,Shoppings,104.86999999999999,0.0742999999999999,0.0746,1.06,1959140000,3768680,10.0,5712.71,3.9274,0.0687,0.0419,0.73
XPPR11,Outros,45.96,0.1268999999999999,0.1176,0.6,336251000,884228,6.0,7254.63,5.7221,0.0789,0.3472999999999999,0.3
XPSF11,Títulos e Val. Mob.,7.64,0.0867,0.1076999999999999,0.9,330828000,705708,0.0,0.0,0.0,0.0,0.0,0.08
XTED11,Lajes Corporativas,7.1,-0.0389,0.0,0.51,13954500,12547,1.0,1868.47,0.0,0.0,0.0,11.16
YUFI11,Residencial,100.0,0.0595,0.0174,0.95,39515000,33,31.0,7656.98,7.1217,0.093,0.0,0.63
ZIFI11,Híbrido,1140.0,-0.0165,0.0070999999999999,0.95,28203600,7763,0.0,0.0,0.0,0.0,0.0,3.3
