<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	11:51:00	5339.500	5349.000	5339.500	5347.500	6333	19565	500
2022.11.16	11:52:00	5347.000	5352.500	5345.000	5347.500	7142	25340	500
2022.11.16	11:53:00	5348.000	5350.000	5345.000	5350.000	3820	12345	500
2022.11.16	11:54:00	5350.000	5354.500	5348.500	5349.500	4712	14613	500
2022.11.16	11:55:00	5349.500	5350.000	5334.500	5337.000	9006	28737	500
2022.11.16	11:56:00	5337.500	5347.500	5336.500	5346.000	5155	16992	500
2022.11.16	11:57:00	5346.500	5349.000	5341.500	5343.000	4024	15993	500
2022.11.16	11:58:00	5343.000	5353.000	5341.500	5350.500	5308	21711	500
2022.11.16	11:59:00	5351.000	5351.500	5347.000	5347.000	2684	12043	500
2022.11.16	12:00:00	5347.000	5348.500	5343.000	5344.000	3391	10909	500
2022.11.16	12:01:00	5344.000	5344.500	5340.500	5344.000	3213	11065	500
2022.11.16	12:02:00	5344.000	5358.500	5342.500	5355.000	8639	25273	500
2022.11.16	12:03:00	5354.500	5357.500	5351.000	5357.500	4270	16231	500
2022.11.16	12:04:00	5357.000	5361.000	5357.000	5359.000	3506	10565	500
2022.11.16	12:05:00	5359.000	5362.000	5358.500	5359.500	3523	10657	500
2022.11.16	12:06:00	5359.500	5360.500	5355.000	5359.500	4582	13132	500
2022.11.16	12:07:00	5359.000	5363.500	5359.000	5361.000	3562	9881	500
2022.11.16	12:08:00	5361.500	5363.000	5356.500	5361.000	2822	6879	500
2022.11.16	12:09:00	5361.500	5362.000	5359.000	5360.000	1122	3247	500
2022.11.16	12:10:00	5360.000	5361.500	5356.000	5358.000	3044	8469	500
2022.11.16	12:11:00	5358.000	5361.500	5357.000	5358.500	1683	4238	500
2022.11.16	12:12:00	5358.500	5359.500	5352.500	5352.500	4122	12166	500
2022.11.16	12:13:00	5353.000	5353.500	5345.500	5351.500	6537	21357	500
2022.11.16	12:14:00	5351.500	5361.000	5351.000	5360.000	4713	13437	500
2022.11.16	12:15:00	5359.500	5363.000	5357.500	5358.500	3369	8755	500
2022.11.16	12:16:00	5358.500	5362.500	5354.500	5355.000	3870	10331	500
2022.11.16	12:17:00	5355.500	5355.500	5351.000	5352.500	2990	8263	500
2022.11.16	12:18:00	5353.000	5354.000	5351.000	5354.000	1699	6038	500
2022.11.16	12:19:00	5354.000	5360.000	5352.500	5357.500	3017	8301	500
2022.11.16	12:20:00	5357.500	5357.500	5351.000	5356.000	3168	8190	500
2022.11.16	12:21:00	5356.000	5358.500	5353.500	5355.000	2777	7994	500
2022.11.16	12:22:00	5355.000	5359.000	5353.500	5358.000	1296	3601	500
2022.11.16	12:23:00	5358.500	5358.500	5352.000	5352.500	1787	4372	500
2022.11.16	12:24:00	5353.000	5353.500	5350.000	5350.500	2338	5694	500
2022.11.16	12:25:00	5350.000	5350.500	5345.000	5347.500	4601	13690	500
2022.11.16	12:26:00	5347.000	5349.000	5346.500	5347.500	1541	4177	500
2022.11.16	12:27:00	5347.500	5351.000	5346.000	5349.000	1998	5587	500
2022.11.16	12:28:00	5349.500	5349.500	5343.500	5344.500	2748	7360	500
2022.11.16	12:29:00	5344.500	5349.500	5342.000	5347.500	4564	14235	500
2022.11.16	12:30:00	5348.000	5351.000	5345.500	5351.000	2449	6768	500
2022.11.16	12:31:00	5351.000	5351.500	5343.000	5347.000	3119	8171	500
2022.11.16	12:32:00	5346.500	5347.500	5339.000	5340.000	3554	9987	500
2022.11.16	12:33:00	5340.500	5340.500	5335.500	5337.500	3517	8982	500
2022.11.16	12:34:00	5337.500	5345.000	5337.000	5344.500	3767	11248	500
2022.11.16	12:35:00	5344.500	5354.000	5343.500	5353.500	4420	12779	500
2022.11.16	12:36:00	5353.500	5358.000	5352.500	5356.000	4077	10577	500
2022.11.16	12:37:00	5355.500	5357.500	5352.500	5356.000	2087	7892	500
2022.11.16	12:38:00	5356.000	5358.500	5351.000	5357.500	3875	12911	500
2022.11.16	12:39:00	5357.500	5358.500	5352.000	5353.000	2721	10650	500
2022.11.16	12:40:00	5353.500	5359.000	5352.500	5357.500	2349	7432	500
2022.11.16	12:41:00	5358.000	5363.500	5357.000	5361.000	3960	10405	500
2022.11.16	12:42:00	5361.000	5363.000	5358.500	5361.000	2531	7104	500
2022.11.16	12:43:00	5361.000	5361.500	5355.500	5357.500	2457	6227	500
2022.11.16	12:44:00	5357.500	5357.500	5352.500	5355.500	3142	11286	500
2022.11.16	12:45:00	5355.500	5358.000	5351.000	5355.000	3356	12412	500
2022.11.16	12:46:00	5355.000	5359.500	5353.500	5359.000	2318	6441	500
2022.11.16	12:47:00	5359.000	5359.500	5357.000	5359.500	1390	3603	500
2022.11.16	12:48:00	5359.000	5365.000	5357.500	5361.000	5405	16608	500
2022.11.16	12:49:00	5361.000	5365.000	5360.000	5361.500	2884	11168	500
2022.11.16	12:50:00	5361.500	5363.500	5360.500	5362.000	1527	4813	500
2022.11.16	12:51:00	5362.000	5364.500	5361.000	5362.500	1685	6181	500
2022.11.16	12:52:00	5362.500	5365.500	5362.500	5364.500	2449	7132	500
2022.11.16	12:53:00	5365.000	5366.000	5363.500	5366.000	1230	3163	500
2022.11.16	12:54:00	5365.500	5377.000	5365.500	5372.500	7947	23865	500
2022.11.16	12:55:00	5372.500	5373.500	5368.000	5371.500	3984	11146	500
2022.11.16	12:56:00	5371.500	5374.000	5369.500	5372.000	1955	4933	500
2022.11.16	12:57:00	5372.000	5372.500	5361.500	5363.500	5070	15024	500
2022.11.16	12:58:00	5363.500	5365.000	5361.500	5363.500	2625	9988	500
2022.11.16	12:59:00	5363.500	5364.000	5358.000	5358.500	3678	13188	500
2022.11.16	13:00:00	5358.500	5361.000	5357.500	5358.500	3005	12101	500
2022.11.16	13:01:00	5358.500	5360.500	5357.000	5359.000	2661	11269	500
2022.11.16	13:02:00	5359.000	5361.000	5357.000	5357.500	2030	6765	500
2022.11.16	13:03:00	5357.500	5361.500	5356.000	5360.000	3140	12189	500
2022.11.16	13:04:00	5360.500	5367.000	5359.500	5360.000	4342	12918	500
2022.11.16	13:05:00	5360.500	5361.500	5358.000	5360.500	2240	7155	500
2022.11.16	13:06:00	5360.500	5366.500	5360.000	5365.500	2640	7768	500
2022.11.16	13:07:00	5365.500	5368.500	5365.000	5367.000	1834	4775	500
2022.11.16	13:08:00	5367.500	5371.000	5366.500	5368.500	2193	6886	500
2022.11.16	13:09:00	5368.500	5372.000	5368.500	5370.500	1768	5321	500
2022.11.16	13:10:00	5370.500	5377.500	5369.500	5373.500	4175	13035	500
2022.11.16	13:11:00	5373.000	5374.000	5371.500	5371.500	1505	3704	500
2022.11.16	13:12:00	5371.500	5374.500	5371.500	5374.000	967	2877	500
2022.11.16	13:13:00	5373.500	5378.000	5373.500	5377.500	2177	6085	500
2022.11.16	13:14:00	5377.000	5379.000	5375.000	5376.000	2707	9015	500
2022.11.16	13:15:00	5376.000	5379.000	5374.000	5377.500	2495	8247	500
2022.11.16	13:16:00	5377.000	5379.000	5377.000	5378.000	1072	3219	500
2022.11.16	13:17:00	5378.000	5379.500	5375.500	5379.500	1503	4422	500
2022.11.16	13:18:00	5379.000	5379.500	5376.000	5376.500	1313	4449	500
2022.11.16	13:19:00	5377.000	5377.000	5367.000	5370.500	4970	13968	500
2022.11.16	13:20:00	5370.000	5373.000	5370.000	5372.000	1465	4089	500
2022.11.16	13:21:00	5372.000	5373.000	5371.000	5372.000	602	1817	500
2022.11.16	13:22:00	5372.000	5372.500	5370.000	5371.000	1059	3294	500
2022.11.16	13:23:00	5371.500	5373.000	5371.000	5372.500	891	3270	500
2022.11.16	13:24:00	5372.500	5375.000	5372.000	5372.500	1412	4004	500
2022.11.16	13:25:00	5373.000	5376.500	5372.000	5374.000	1539	4470	500
2022.11.16	13:26:00	5374.000	5375.000	5369.500	5369.500	1443	3177	500
2022.11.16	13:27:00	5369.500	5371.000	5368.500	5371.000	1526	4406	500
2022.11.16	13:28:00	5371.000	5371.000	5368.500	5369.500	1133	4702	500
2022.11.16	13:29:00	5370.000	5371.500	5369.000	5370.000	1105	4703	500
2022.11.16	13:30:00	5370.500	5371.000	5364.500	5368.000	3940	11213	500
2022.11.16	13:31:00	5368.000	5371.500	5368.000	5371.000	1058	3060	500
2022.11.16	13:32:00	5370.500	5372.500	5368.000	5368.500	1356	3238	500
2022.11.16	13:33:00	5368.000	5372.000	5368.000	5371.000	1266	3679	500
2022.11.16	13:34:00	5371.500	5375.500	5371.000	5372.000	2476	6689	500
2022.11.16	13:35:00	5372.000	5375.000	5371.500	5374.000	939	2626	500
2022.11.16	13:36:00	5373.500	5375.500	5373.500	5374.500	978	2535	500
2022.11.16	13:37:00	5375.000	5377.500	5374.500	5374.500	1905	5133	500
2022.11.16	13:38:00	5374.500	5378.000	5374.000	5375.500	1412	5055	500
2022.11.16	13:39:00	5375.500	5376.000	5371.500	5372.000	1356	3171	500
2022.11.16	13:40:00	5372.500	5373.000	5371.000	5372.500	1047	2894	500
2022.11.16	13:41:00	5373.000	5373.500	5371.500	5372.000	438	986	500
2022.11.16	13:42:00	5372.000	5374.500	5371.500	5372.500	973	2947	500
2022.11.16	13:43:00	5373.000	5373.500	5368.500	5369.000	1502	4002	500
2022.11.16	13:44:00	5369.000	5370.000	5362.000	5363.000	3985	11299	500
2022.11.16	13:45:00	5363.000	5363.000	5359.000	5360.000	2796	7277	500
2022.11.16	13:46:00	5360.500	5362.000	5359.000	5361.000	1671	4885	500
2022.11.16	13:47:00	5361.000	5362.000	5360.000	5361.000	806	1986	500
2022.11.16	13:48:00	5361.000	5361.000	5356.000	5357.500	3003	9520	500
2022.11.16	13:49:00	5358.000	5359.000	5355.000	5358.000	2318	6458	500
2022.11.16	13:50:00	5358.500	5364.500	5357.500	5361.500	3151	8390	500
2022.11.16	13:51:00	5361.500	5365.000	5361.000	5365.000	1724	5380	500
2022.11.16	13:52:00	5365.000	5368.000	5364.000	5367.500	2166	5176	500
2022.11.16	13:53:00	5367.000	5368.000	5364.500	5365.500	1662	4880	500
2022.11.16	13:54:00	5365.500	5367.500	5365.000	5367.000	565	1798	500
2022.11.16	13:55:00	5367.000	5368.500	5365.500	5365.500	1481	5049	500
2022.11.16	13:56:00	5366.000	5369.500	5364.000	5365.500	2357	8615	500
2022.11.16	13:57:00	5365.000	5366.500	5363.000	5366.000	1230	3182	500
2022.11.16	13:58:00	5366.500	5368.500	5365.500	5367.000	1275	4517	500
2022.11.16	13:59:00	5367.500	5373.500	5367.000	5372.000	2703	7824	500
2022.11.16	14:00:00	5372.000	5373.000	5366.500	5367.500	2546	7687	500
2022.11.16	14:01:00	5367.500	5370.500	5367.500	5370.500	998	2993	500
2022.11.16	14:02:00	5370.500	5372.000	5368.500	5370.500	887	2615	500
2022.11.16	14:03:00	5370.500	5371.500	5369.000	5371.000	645	1564	500
2022.11.16	14:04:00	5371.000	5373.500	5371.000	5371.500	1216	3704	500
2022.11.16	14:05:00	5372.000	5373.000	5367.500	5369.000	1564	4874	500
2022.11.16	14:06:00	5369.500	5369.500	5365.500	5367.000	1932	5021	500
2022.11.16	14:07:00	5367.000	5369.000	5364.000	5366.500	1745	6071	500
2022.11.16	14:08:00	5367.000	5367.000	5363.500	5365.500	1171	3714	500
2022.11.16	14:09:00	5366.000	5367.500	5364.500	5367.500	1025	3141	500
2022.11.16	14:10:00	5367.500	5370.500	5367.500	5368.500	1442	3628	500
2022.11.16	14:11:00	5368.500	5373.000	5368.000	5372.000	1440	4502	500
2022.11.16	14:12:00	5371.500	5373.000	5370.000	5370.500	1021	3167	500
2022.11.16	14:13:00	5370.500	5375.500	5370.500	5373.500	2511	6559	500
2022.11.16	14:14:00	5373.000	5374.500	5372.500	5374.000	756	2073	500
2022.11.16	14:15:00	5374.000	5376.500	5372.500	5376.000	1562	4257	500
