<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.16	13:13:00	110582	110595	110582	110595	29988	210830560	0
2022.11.16	13:14:00	110539	110606	110539	110606	40341	281786970	0
2022.11.16	13:15:00	110629	110629	110623	110623	29700	198603290	0
2022.11.16	13:16:00	110672	110672	110629	110629	31001	210361890	0
2022.11.16	13:17:00	110628	110636	110628	110636	23946	166903370	0
2022.11.16	13:18:00	110557	110557	110539	110539	39555	347401200	0
2022.11.16	13:19:00	110552	110660	110552	110660	32158	254784790	0
2022.11.16	13:20:00	110670	110680	110670	110680	23874	158597690	0
2022.11.16	13:21:00	110600	110600	110576	110576	31350	217839820	0
2022.11.16	13:22:00	110585	110624	110585	110624	28703	293778300	0
2022.11.16	13:23:00	110670	110670	110611	110611	30762	211539360	0
2022.11.16	13:24:00	110650	110671	110650	110671	32818	214033450	0
2022.11.16	13:25:00	110708	110708	110646	110646	32727	217908700	0
2022.11.16	13:26:00	110616	110683	110616	110683	29141	268275000	0
2022.11.16	13:27:00	110701	110732	110701	110732	28895	453546090	0
2022.11.16	13:28:00	110696	110707	110696	110707	33516	234386970	0
2022.11.16	13:29:00	110743	110743	110729	110729	29237	265035300	0
2022.11.16	13:30:00	110764	110764	110760	110760	29622	212253000	0
2022.11.16	13:31:00	110748	110748	110729	110729	31133	202060280	0
2022.11.16	13:32:00	110706	110706	110692	110692	31044	231142320	0
2022.11.16	13:33:00	110734	110734	110674	110674	33069	226923000	0
2022.11.16	13:34:00	110587	110587	110571	110571	45564	351460300	0
2022.11.16	13:35:00	110569	110569	110562	110562	22847	188392500	0
2022.11.16	13:36:00	110566	110574	110566	110574	27018	181526030	0
2022.11.16	13:37:00	110590	110658	110590	110658	27707	200107950	0
2022.11.16	13:38:00	110678	110678	110605	110605	30768	226160910	0
2022.11.16	13:39:00	110603	110640	110603	110640	25126	171644570	0
2022.11.16	13:40:00	110702	110702	110673	110673	26340	222955000	0
2022.11.16	13:41:00	110701	110746	110701	110746	23430	164215440	0
2022.11.16	13:42:00	110752	110752	110717	110717	23002	119832690	0
2022.11.16	13:43:00	110725	110774	110725	110774	26445	165787630	0
2022.11.16	13:44:00	110784	110784	110759	110759	23315	142744710	0
2022.11.16	13:45:00	110821	110821	110814	110814	32262	212449470	0
2022.11.16	13:46:00	110883	110883	110844	110844	31794	249567500	0
2022.11.16	13:47:00	110833	110833	110785	110785	32658	251477200	0
2022.11.16	13:48:00	110785	110785	110741	110741	28774	201151620	0
